LOCATION	PLOT	YEAR	REP	DM	BM	GY	TGW	F1_OVERALL_1	F1_OVERALL_2	F1_OVERALL_3	F1_OVERALL_4	M2_OVERALL_1	M2_OVERALL_2	M2_OVERALL_3	M2_OVERALL_4	M2_OVERALL_5
geregera	99	2013	1	146	12.5	4.2008	43.6	4	4	4	4	3	3	4	3	NA
hagreselam	196	2013	1	130	6.875	2.736274286	55.9584	NA	3	4	4	2	2	2	2	2
hagreselam	407	2013	2	120	5.9375	NA	41.78276571	4	4	4	4	3	3	3	3	NA
hagreselam	452	2013	NA	111	8.75	3.174640571	55.09046857	4	4	4	5	NA	2	3	2	3
geregera	133	2012	missing	134	8.333333333	2.130438095	38.2448	4	4	4	3	3	4	3	4	5
geregera	452	2012	2	134	5	1.367893333	32.256	3	3	3	2	4	5	4	4	3
hagreselam	223	2012	1	114	3.125	1.591453714	36.44708571	4	4	3	3	NA	3	3	3	3
geregera	481	2013	2	155	6.25	1.630348571	38.2	4	4	4	3	3	3	3	2	3
geregera	753	2013	2	160	5	0.975857143	35.6	5	4	5	5	3	NA	3	3	2
hagreselam	264	2013	1	NA	10.3125	2.980806429	44.05782857	4	4	5	4	3	4	5	3	4
geregera	223	2012	1	145	6.666666667	1.36068381	33.0464	4	4	3	3	4	3	NA	3	3
hagreselam	751	2012	NA	113	6.25	1.981580571	30.89334857	2	2	2	2	3	3	3	2	2
geregera	611	2013	2	133	5	2.092052857	35.9	4	4	4	4	2	3	3	2	3
hagreselam	643	2012	2	121	9.375	NA	45.58123429	3	3	3	3	4	NA	4	4	NA
hagreselam	522	2013	2	119	13.75	4.767091	54.08836571	4	4	4	4	3	4	2	3	3
geregera	481	2012	2	134	5.833333333	1.701428571	33.94285714	NA	2	2	2	3	3	3	3	3
geregera	248	2013	1	152	7.5	2.3872	45.8	4	4	4	4	3	3	4	2	4
geregera	407	2013	2	142	7.5	2.72888	44.7	4	4	4	4	3	3	2	2	4
geregera	788	2013	2	151	6.25	1.321842857	33.8	5	4	5	5	4	3	3	3	4
hagreselam	238	2012	1	108	5.625	2.234273	35.8288	3	3	3	3	5	5	4	4	NA
hagreselam	633	2012	2	115	6.875	2.584686857	30.46729143	2	2	2	2	3	3	3	3	3
hagreselam	633	2013	2	132	11.25	3.69795	48.25325714	5	5	4	4	4	4	4	5	NA
geregera	753	2012	?	144	10.83333333	3.05064	36.29165714	3	3	3	3	4	4	4	5	4
geregera	558	2013	2	124	3.75	1.556051429	43.7	4	5	4	4	4	3	3	3	3
hagreselam	531	2013	2	NA	8.125	2.916202571	40.87296	5	4	4	4	3	3	3	3	3
geregera	133	2013	1	146	5	1.938377143	42.3	4	4	5	4	2	3	3	3	3
geregera	633	2013	2	141	6.25	1.97064	35.2	4	4	4	4	3	3	3	3	4
geregera	531	2012	2	136	5	1.02882381	31.29942857	3	4	3	4	3	3	3	3	3
geregera	238	2013	1	NA	7.5	1.94544	32.7	4	NA	5	4	2	3	2	2	2
geregera	558	2012	2	141	7.5	1.800228571	35.90228571	2	2	2	2	4	3	4	4	4
hagreselam	795	2013	2	142	16.25	4.046416714	51.92269714	5	4	4	5	4	3	3	3	3
geregera	691	2012	2	147	5.833333333	1.611502857	39.84994286	4	4	5	4	4	5	4	5	4
hagreselam	145	2013	1	124	8.75	3.003366	51.01824	4	4	4	4	3	3	3	3	3
hagreselam	40	2013	1	128	NA	2.430622857	40.06765714	4	4	4	4	1	NA	3	2	2
hagreselam	481	2012	2	130	2.5	0.478229143	45.61885714	NA	2	1	2	3	3	3	3	3
hagreselam	282	2013	1	126	5	NA	41.08580571	5	4	5	5	3	3	4	3	4
hagreselam	753	2012	2	113	10.625	3.560363714	33.99954286	3	3	3	3	4	NA	4	5	4
hagreselam	795	2012	2	123	10	2.792139429	36.55645714	1	2	1	1	3	3	3	2	NA
Hagreselam	145	2012	1	118	6	2.835755	47.4864	4	5	5	4	5	5	3	4	4
hagreselam	691	2012	2	119	8.125	2.572979643	31.64914286	4	4	5	4	4	5	4	5	4
geregera	515	2012	2	NA	9.166666667	1.761019048	28.02628571	2	2	2	NA	4	4	4	4	4
hagreselam	631	2012	2	111	7.5	2.419861714	33.31145143	2	2	1	1	4	4	3	3	3
Hagreselam	264	NA	1	123	5.5	2.061745643	30.88249143	3	2	NA	3	4	2	3	3	3
hagreselam	99	2013	1	117	10	2.958883714	42.44214857	4	4	4	4	3	3	4	3	3
hagreselam	248	2012	1	125	7.5	2.760796	47.06733714	4	NA	4	4	NA	3	3	4	3
hagreselam	566	2013	2	111	8.125	3.367242071	50.56406857	5	5	4	5	3	3	2	2	3
hagreselam	611	2013	2	117	13.75	4.551390786	40.01165714	4	NA	4	4	NA	3	3	2	3
geregera	145	2013	1	142	12.5	4.90176	53.5	4	5	4	4	2	3	4	4	4
geregera	751	2013	2	152	3.75	1.32588	38.7	5	4	4	4	3	2	2	2	3
hagreselam	99	2012	1	NA	10.625	4.002200714	40.21373714	2	2	4	3	3	5	4	5	5
hagreselam	87	2013	1	120	8.75	3.570777714	45.56324571	4	4	4	4	3	4	3	3	3
hagreselam	691	2013	NA	123	13.125	4.62566	55.328	5	4	4	4	2	1	1	1	2
hagreselam	481	2013	2	NA	7.5	2.8725	41.6	4	4	4	3	3	3	3	2	3
geregera	195	NA	1	139	7.5	2.676205714	44.1	4	4	4	4	3	3	3	3	NA
geregera	195	2012	1	133	9.166666667	1.789158095	37.76731429	4	3	4	3	5	5	4	5	4
geregera	566	2013	2	132	6.25	2.476462857	40	4	4	4	3	2	3	3	3	2
geregera	196	2012	1	143	7.5	2.115428571	39.70285714	3	3	3	3	5	5	3	4	NA
geregera	522	2012	2	142	6.666666667	2.191975238	33.97005714	3	4	3	3	4	4	4	4	4
geregera	452	2013	2	149	5	1.452145714	37	4	4	4	5	3	2	3	2	3
geregera	611	2012	2	118	7.5	NA	31.09485714	3	2	2	2	4	3	3	4	3
hagreselam	238	2013	1	119	6.875	2.136258143	47.50189714	4	4	3	4	3	2	2	3	2
geregera	87	2013	1	152	5	1.913104286	42.8	4	4	4	5	2	3	3	2	2
hagreselam	133	2012	1	115	7.5	3.221314286	44.49645714	4	4	4	3	3	4	3	4	5
geregera	87	2012	1	137	5.416666667	2.148181905	36.26822857	3	3	4	3	5	3	2	3	2
geregera	751	2012	2	NA	5.833333333	1.354697143	33.14902857	2	32	2	2	3	32	3	2	2
hagreselam	643	2013	2	123	10	3.498536071	48.40457143	4	4	4	4	3	3	3	2	2
geregera	795	2012	2	153	6.666666667	0.952748571	33.00137143	1	NA	1	1	3	3	3	2	3
hagreselam	4	2012	1	125	10.625	3.055232	41.65632	2	2	2	3	4	NA	3	3	3
geregera	223	2013	1	145	6.25	1.443275714	51.3	4	4	4	5	2	2	2	3	3
geregera	145	2012	1	137	5	1.71	38.05714286	4	5	5	4	5	5	3	4	4
geregera	795	2013	2	171	2.5	0.18	36.8	5	4	5	5	3	3	4	3	4
Hagreselam	196	2012	1	116	6.875	3.0200835	43.67424	3	3	3	NA	5	5	3	4	4
hagreselam	753	NA	2	128	13.75	4.120745143	43.43122286	4	32	4	5	3	32	4	4	2
geregera	40	2012	1	NA	5	NA	31.15954286	2	3	3	3	3	4	3	3	NA
geregera	631	2012	2	137	5	1.262933333	29.9008	3	3	3	4	4	NA	3	NA	4
geregera	99	2012	1	143	7.5	1.715332381	35.93702857	2	NA	4	3	3	5	4	5	5
hagreselam	515	2013	2	135	3.75	2.068620143	41.39392	5	5	4	5	3	3	3	3	3
geregera	196	2013	1	142	3.75	1.542788571	49.6	4	4	4	4	3	3	4	3	2
geregera	515	2013	2	145	3.75	1.146737143	33.7	4	4	3	3	2	2	1	1	1
geregera	643	2012	2	136	10	2.254612381	34.39325714	2	3	3	2	4	3	4	4	4
hagreselam	452	2012	2	112	5.625	2.137271071	31.56745143	3	2	2	2	3	3	3	3	3
hagreselam	531	2012	2	115	5.625	1.719278857	30.66368	4	4	4	3	5	4	4	4	3
geregera	531	2013	2	140	6.25	1.814725714	40	4	4	4	5	3	3	3	3	3
hagreselam	195	2012	1	118	6.25	2.670370286	45.89019429	4	3	4	3	5	5	4	5	4
geregera	566	2012	2	131	8.333333333	1.56928	30.9248	2	2	2	2	5	5	3	4	4
hagreselam	195	2013	1	125	6.25	2.073647857	48.40539429	4	3	4	4	3	3	4	3	2
hagreselam	40	NA	1	NA	8.75	3.379991429	37.17248	2	3	3	3	3	4	3	3	4
geregera	691	2013	NA	155	5	1.511205714	NA	4	4	4	4	2	3	2	3	2
geregera	407	2012	2	134	5.833333333	1.659161905	32.22537143	2	2	2	3	5	4	4	4	4
geregera	631	2013	2	137	6.25	1.707448571	35.7	4	4	4	5	4	4	4	4	5
Hagreselam	407	2012	2	122	NA	2.461857143	48.80178286	3	2	2	2	4	4	3	4	4
geregera	633	2012	2	135	6.666666667	1.272555238	31.40628571	3	3	3	3	3	3	3	3	NA
hagreselam	515	2012	2	117	5.625	2.079340714	39.05268571	2	2	2	1	4	3	3	3	3
geregera	522	2013	2	158	8.75	NA	NA	4	4	4	4	3	4	2	3	3
geregera	643	2013	2	144	7.5	3.038191429	39.7	4	4	5	4	3	2	3	3	3
hagreselam	788	NA	2	122	12.5	4.207314429	34.28077714	3	2	3	3	2	3	3	3	3
hagreselam	566	2012	2	123	5.25	2.135234571	45.98203429	4	4	4	4	5	5	4	4	4
geregera	238	2012	1	140	6.666666667	1.516313333	34.72708571	3	3	3	3	5	5	4	4	4
geregera	264	2012	1	141	5	1.263017143	32.13074286	3	2	2	3	4	2	3	3	3
geregera	788	2012	2	158	4.166666667	0.920215238	33.67885714	3	2	3	3	2	3	3	3	3
